tf,confidence,target,mor,likelihood
Adnp2,E,Snip1,1,1
Adnp2,E,Snrpa1,1,1
Adnp2,E,Spag9,1,1
Adnp2,E,Srsf10,1,1
Adnp2,E,Stx12,1,1
Adnp2,E,Supv3l1,1,1
Adnp2,E,Tcerg1,1,1
Adnp2,E,Thumpd3,1,1
Adnp2,E,Timm23,1,1
Adnp2,E,Tnks2,1,1
Adnp2,E,Tox4,1,1
Adnp2,E,Trp53bp2,1,1
Adnp2,E,Traf6,1,1
Adnp2,E,Trim33,1,1
Adnp2,E,Trip12,1,1
Adnp2,E,Trmt11,1,1
Adnp2,E,Tsc22d2,1,1
Adnp2,E,Tstd2,1,1
Adnp2,E,Tuft1,1,1
Adnp2,E,Twistnb,1,1
Adnp2,E,Txlng,1,1
Adnp2,E,Ubap2l,1,1
Adnp2,E,Usp14,1,1
Adnp2,E,Usp16,1,1
Adnp2,E,Usp31,1,1
Adnp2,E,Usp36,1,1
Adnp2,E,Utp15,1,1
Adnp2,E,Vcpkmt,1,1
Adnp2,E,Wapl,1,1
Adnp2,E,Wdr43,1,1
Adnp2,E,Wdr45b,1,1
Adnp2,E,Wrn,1,1
Adnp2,E,Wtap,1,1
Adnp2,E,Xrn1,1,1
Adnp2,E,Ythdc2,1,1
Adnp2,E,Zbtb21,1,1
Adnp2,E,Zbtb43,1,1
Adnp2,E,Zfand5,1,1
Adnp2,E,Zmym2,1,1
Adnp2,E,Zfp207,1,1
Adnp2,E,Zfp110,1,1
Adnp2,E,Zfp369,1,1
Adnp2,E,Zfp280c,1,1
Adnp2,E,Zfp326,1,1
Adnp2,E,Zkscan14,1,1
Adnp2,E,Zfp867,1,1
Adnp2,E,Zfp799,1,1
Adnp2,E,Zfy2,1,1
Adnp2,E,Zfy1,1,1
Adnp2,E,Zfp956,1,1
Adnp2,E,Zfp791,1,1
Adnp2,E,Zfp800,1,1
Adnp2,E,Znfx1,1,1
Aebp2,E,Abce1,1,1
Aebp2,E,Abhd13,1,1
Aebp2,E,Abi1,1,1
Aebp2,E,Abi2,1,1
Aebp2,E,Acads,1,1
Aebp2,E,Actr3,1,1
Aebp2,E,Aff4,1,1
Aebp2,E,Aftph,1,1
Aebp2,E,Agpat2,1,1
Aebp2,E,Ahr,1,1
Aebp2,E,Akap11,1,1
Aebp2,E,Akap6,1,1
Aebp2,E,Akt1s1,1,1
Aebp2,E,Alms1,1,1
Aebp2,E,Amd2,1,1
Aebp2,E,Amd1,1,1
Aebp2,E,Anapc10,1,1
Aebp2,E,Ankrd13c,1,1
Aebp2,E,Ankrd46,1,1
Aebp2,E,Anks1b,1,1
Aebp2,E,Anp32e,1,1
Aebp2,E,Antxr1,1,1
Aebp2,E,Ap1ar,1,1
Aebp2,E,Ap1b1,1,1
Aebp2,E,Ap3s1,1,1
Aebp2,E,Ap4s1,1,1
Aebp2,E,Apmap,1,1
Aebp2,E,Appbp2,1,1
Aebp2,E,Appl1,1,1
Aebp2,E,Arap2,1,1
Aebp2,E,Arfip1,1,1
Aebp2,E,Arhgap42,1,1
Aebp2,E,Arhgap5,1,1
Aebp2,E,Arhgef12,1,1
Aebp2,E,Arhgef3,1,1
Aebp2,E,Arid1b,1,1
Aebp2,E,Arid4b,1,1
Aebp2,E,Arih1,1,1
Aebp2,E,Arl13b,1,1
Aebp2,E,Arl5a,1,1
Aebp2,E,Arl5b,1,1
Aebp2,E,Arl8b,1,1
Aebp2,E,Armc10,1,1
Aebp2,E,Armcx1,1,1
Aebp2,E,Atad1,1,1
Aebp2,E,Atad2b,1,1
Aebp2,E,Atf1,1,1
Aebp2,E,Atf2,1,1
Aebp2,E,Atf3,1,1
Aebp2,E,Atf7,1,1
Aebp2,E,Atl2,1,1
Aebp2,E,Atp2b1,1,1
Aebp2,E,Atp7a,1,1
Aebp2,E,Atp8b1,1,1
Aebp2,E,Atrx,1,1
Aebp2,E,Atxn1,1,1
Aebp2,E,Atxn7,1,1
Aebp2,E,B3gat2,1,1
Aebp2,E,Bach1,1,1
Aebp2,E,Bag4,1,1
Aebp2,E,Bbs9,1,1
Aebp2,E,Bbx,1,1
Aebp2,E,Bcap31,1,1
Aebp2,E,Bclaf1,1,1
Aebp2,E,Bdp1,1,1
Aebp2,E,Bicd1,1,1
Aebp2,E,Bicd2,1,1
Aebp2,E,Birc2,1,1
Aebp2,E,Bloc1s5,1,1
Aebp2,E,Bloc1s6,1,1
Aebp2,E,Blzf1,1,1
Aebp2,E,Bmi1,1,1
Aebp2,E,Bmpr1a,1,1
Aebp2,E,Bmpr2,1,1
Aebp2,E,Bmt2,1,1
Aebp2,E,Braf,1,1
Aebp2,E,Brms1l,1,1
Aebp2,E,1110004F10Rik,1,1
Aebp2,E,4930430F08Rik,1,1
Aebp2,E,1810013L24Rik,1,1
Aebp2,E,8030462N17Rik,1,1
Aebp2,E,2310022B05Rik,1,1
Aebp2,E,2410004B18Rik,1,1
Aebp2,E,C1qb,1,1
Aebp2,E,D16Ertd472e,1,1
Aebp2,E,1810037I17Rik,1,1
Aebp2,E,B230219D22Rik,1,1
Aebp2,E,Caap1,1,1
Aebp2,E,Cadm1,1,1
Aebp2,E,Caml,1,1
Aebp2,E,Camsap2,1,1
Aebp2,E,Casc4,1,1
Aebp2,E,Casd1,1,1
Aebp2,E,Cbfb,1,1
Aebp2,E,Ccdc59,1,1
Aebp2,E,Ccdc6,1,1
Aebp2,E,Ccni,1,1
Aebp2,E,Ccp110,1,1
Aebp2,E,Ccser2,1,1
Aebp2,E,Cd163,1,1
Aebp2,E,Cd2ap,1,1
Aebp2,E,Cdc73,1,1
Aebp2,E,Cdk14,1,1
Aebp2,E,Cdk17,1,1
Aebp2,E,Cdkal1,1,1
Aebp2,E,Cdkn1b,1,1
Aebp2,E,Cenpc1,1,1
Aebp2,E,Cep112,1,1
Aebp2,E,Cep128,1,1
Aebp2,E,Cep170,1,1
Aebp2,E,Cep85l,1,1
